[2019-08-14 10:15:10.161] [main                  ] [INFO ] [c.y.n.mapp.topdesign.collecitoninfo.boot.CollectionInfoMain :50  ] - null|null|Starting CollectionInfoMain on GRIS-ZHANGSY-N with PID 27676 (started by zhangshiyong in D:\顶层架构设计\workspace\tdcollectioninfoapp\necp.mapp.collecitoninfo.boot)
[2019-08-14 10:15:10.172] [main                  ] [INFO ] [c.y.n.mapp.topdesign.collecitoninfo.boot.CollectionInfoMain :675 ] - null|null|No active profile set, falling back to default profiles: default
[2019-08-14 10:15:10.216] [main                  ] [INFO ] [com.ygsoft.ecp.core.mapp.util.MappConfigUtil                :208 ] - null|null|eureka server address is http://eureka.ygcloud.com/eureka/
[2019-08-14 10:15:12.569] [main                  ] [INFO ] [org.apache.coyote.http11.Http11NioProtocol                  :173 ] - null|null|Initializing ProtocolHandler ["http-nio-80"]
[2019-08-14 10:15:12.584] [main                  ] [INFO ] [org.apache.catalina.core.StandardService                    :173 ] - null|null|Starting service [Tomcat]
[2019-08-14 10:15:12.584] [main                  ] [INFO ] [org.apache.catalina.core.StandardEngine                     :173 ] - null|null|Starting Servlet engine: [Apache Tomcat/9.0.16]
[2019-08-14 10:15:12.596] [main                  ] [INFO ] [org.apache.catalina.core.AprLifecycleListener               :173 ] - null|null|The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [E:\software\jdk\jdk1.8.0_92\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;E:/software/jdk/jdk1.8.0_92/bin/../jre/bin/server;E:/software/jdk/jdk1.8.0_92/bin/../jre/bin;E:/software/jdk/jdk1.8.0_92/bin/../jre/lib/amd64;C:\Perl64\site\bin;C:\Perl64\bin;D:\oracle\product\10.2.0\client_1\bin;E:\software\jdk\jdk1.8.0_92\bin;E:\software\jdk\jdk1.8.0_92\jre\bin;c:\oracle\product\11.2.0\client_1;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;E:\client\bin;;C:\WINDOWS\System32\OpenSSH\;C:\Users\zhangshiyong\AppData\Local\Microsoft\WindowsApps;;c:\program files\esafenet\cobra docguard client;C:\Program Files (x86)\SSH Communications Security\SSH Secure Shell;D:\eclipse;;.]
[2019-08-14 10:15:12.822] [main                  ] [INFO ] [o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/]    :173 ] - null|null|Initializing Spring embedded WebApplicationContext
[2019-08-14 10:15:13.364] [main                  ] [INFO ] [o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/]    :173 ] - null|null|CommonServletContextListener Initialized
[2019-08-14 10:15:13.374] [main                  ] [INFO ] [com.ygsoft.ecp.core.mapp.eureka.MappEurekaService           :196 ] - null|null|microservice register (necp:mapp.collecitoninfo:/necp/mapp/collecitoninfo) - (http://eureka.ygcloud.com/eureka/)ns
[2019-08-14 10:15:13.406] [main                  ] [WARN ] [com.netflix.config.sources.URLConfigurationSource           :121 ] - null|null|No URLs will be polled as dynamic configuration sources.
[2019-08-14 10:15:13.407] [main                  ] [INFO ] [com.netflix.config.sources.URLConfigurationSource           :122 ] - null|null|To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[2019-08-14 10:15:13.423] [main                  ] [INFO ] [com.netflix.config.DynamicPropertyFactory                   :281 ] - null|null|DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@2336cd91
[2019-08-14 10:15:13.630] [trix-HystrixExecutor-1] [WARN ] [com.netflix.discovery.internal.util.Archaius1Utils          :35  ] - null|null|Cannot find the properties specified : eureka-client. This may be okay if there are other environment specific properties or the configuration is installed with a different mechanism.
[2019-08-14 10:15:13.638] [trix-HystrixExecutor-1] [INFO ] [c.n.appinfo.providers.EurekaConfigBasedInstanceInfoProvider :107 ] - null|null|Setting initial instance status as: STARTING
[2019-08-14 10:15:13.642] [trix-HystrixExecutor-1] [WARN ] [com.netflix.discovery.internal.util.Archaius1Utils          :35  ] - null|null|Cannot find the properties specified : eureka-client. This may be okay if there are other environment specific properties or the configuration is installed with a different mechanism.
[2019-08-14 10:15:13.673] [trix-HystrixExecutor-1] [INFO ] [com.netflix.discovery.DiscoveryClient                       :347 ] - null|null|Initializing Eureka in region necp
[2019-08-14 10:15:13.814] [trix-HystrixExecutor-1] [INFO ] [com.netflix.discovery.provider.DiscoveryJerseyProvider      :70  ] - null|null|Using JSON encoding codec LegacyJacksonJson
[2019-08-14 10:15:13.815] [trix-HystrixExecutor-1] [INFO ] [com.netflix.discovery.provider.DiscoveryJerseyProvider      :71  ] - null|null|Using JSON decoding codec LegacyJacksonJson
[2019-08-14 10:15:13.972] [trix-HystrixExecutor-1] [INFO ] [com.netflix.discovery.provider.DiscoveryJerseyProvider      :80  ] - null|null|Using XML encoding codec XStreamXml
[2019-08-14 10:15:13.973] [trix-HystrixExecutor-1] [INFO ] [com.netflix.discovery.provider.DiscoveryJerseyProvider      :81  ] - null|null|Using XML decoding codec XStreamXml
[2019-08-14 10:15:14.328] [trix-HystrixExecutor-1] [INFO ] [c.n.discovery.shared.resolver.aws.ConfigClusterResolver     :43  ] - null|null|Resolving eureka endpoints via configuration
[2019-08-14 10:15:14.401] [trix-HystrixExecutor-1] [INFO ] [com.netflix.discovery.DiscoveryClient                       :934 ] - null|null|Disable delta property : false
